Year,Average population,Live births,Deaths,Natural change,"Crude birth rate (per 1,000)","Crude death rate (per 1,000)","Natural change (per 1,000)",TFR (USA)
1935,"127,362,000","2,377,000","1,392,752","984,248",18.7,10.9,7.7,2.19
1936,"128,181,000","2,355,000","1,479,228","875,772",18.4,11.5,6.8,2.15
1937,"128,961,000","2,413,000","1,450,427","962,573",18.7,11.2,7.5,2.17
1938,"129,969,000","2,496,000","1,381,391","1,114,609",19.2,10.6,8.6,2.22
1939,"131,028,000","2,466,000","1,387,897","1,078,103",18.8,10.6,8.2,2.17
1940,"132,165,000","2,559,000","1,417,269","1,142,000",19.4,10.8,8.6,2.301
1941,"133,002,000","2,703,000","1,397,642","1,305,358",20.3,10.5,9.8,2.399
1942,"134,464,000","2,989,000","1,385,187","1,603,813",22.2,10.3,11.9,2.628
1943,"136,003,000","3,104,000","1,459,544","1,644,306",22.8,10.7,12.1,2.718
1944,"138,083,000","2,939,000","1,411,338","1,644,456",21.2,10.2,11,2.568
1945,"139,994,000","2,858,000","1,401,719","1,456,281",20.4,10,10.4,2.491
1946,"140,008,000","3,411,000","1,395,617","2,015,383",24.1,10,14.1,2.943
1947,"145,023,000","3,817,000","1,445,370","2,371,630",26.6,10,16.6,3.274
1948,"148,013,000","3,637,000","1,444,337","2,192,663",24.9,9.8,15.1,3.109
1949,"149,336,000","3,649,000","1,443,607","2,205,393",24.5,9.7,14.8,3.11
1950,"151,861,000","3,632,000","1,452,454","2,180,000",24.1,9.6,14.5,3.091
1951,"154,056,000","3,823,000","1,482,099","2,340,901",24.8,9.6,15.2,3.269
1952,"156,431,000","3,913,000","1,496,838","2,416,162",25,9.6,15.4,3.358
1953,"159,047,000","3,965,000","1,447,459","2,517,541",25.2,9.1,16.1,3.424
1954,"161,948,000","4,078,000","1,481,091","2,596,909",24.8,9.3,15.5,3.543
1955,"163,476,000","4,097,000","1,528,717","2,568,283",25,9.3,14.3,3.58
1956,"166,578,000","4,218,000","1,564,476","2,653,524",25.1,9.3,15.8,3.689
1957,"169,637,000","4,308,000","1,633,128","2,666,872",25.3,9.5,15.8,3.767
1958,"172,668,000","4,255,000","1,647,886","2,607,114",24.4,9.5,14.9,3.701
1959,"175,642,000","4,244,796","1,656,814","2,587,982",24,9.4,14.7,3.67
1960,"179,979,000","4,257,850","1,711,982","2,545,868",23.7,9.5,14.1,3.654
1961,"182,992,000","4,268,326","1,701,522","2,566,804",23.3,9.3,14,3.629
1962,"185,771,000","4,167,362","1,756,720","2,410,642",22.4,9.5,12.9,3.474
1963,"188,483,000","4,098,020","1,813,549","2,284,471",21.7,9.6,12.1,3.333
1964,"191,141,000","4,027,490","1,798,051","2,229,439",21.1,9.4,11.7,3.208
1965,"193,526,000","3,760,358","1,828,136","1,932,222",19.4,9.5,9.9,2.928
1966,"195,576,000","3,606,274","1,863,149","1,743,125",18.4,9.5,8.9,2.736
1967,"197,457,000","3,520,959","1,851,323","1,669,636",17.8,9.4,8.4,2.578
1968,"199,399,000","3,501,564","1,930,082","1,571,482",17.6,9.7,7.9,2.477
1969,"201,385,000","3,600,206","1,921,990","1,678,216",17.9,9.5,8.4,2.465
1970,"203,984,000","3,731,386","1,921,031","1,810,355",18.4,9.4,9,2.48
1971,"206,827,000","3,555,970","1,927,542","1,628,428",17.2,9.3,7.9,2.266
1972,"209,284,000","3,258,411","1,963,944","1,294,467",15.6,9.4,6.2,2.01
1973,"211,357,000","3,136,965","1,973,003","1,163,962",14.8,9.5,5.3,1.879
1974,"213,342,000","3,159,958","1,934,388","1,225,570",14.8,9.1,5.7,1.835
1975,"215,465,000","3,144,198","1,892,879","1,251,319",14.6,8.8,5.8,1.774
1976,"217,563,000","3,167,788","1,909,440","1,258,348",14.6,8.8,5.8,1.738
1977,"219,760,000","3,326,632","1,899,597","1,427,035",15.1,8.6,6.5,1.789
1978,"222,095,000","3,333,279","1,927,788","1,405,491",15,8.7,6.3,1.76
1979,"224,567,000","3,494,398","1,913,841","1,580,557",15.6,8.5,7.1,1.808
1980,"227,225,000","3,612,258","1,989,841","1,622,417",15.9,8.8,7.1,1.839
1981,"229,466,000","3,629,238","1,977,981","1,651,257",15.8,8.6,7.2,1.812
1982,"231,664,000","3,680,537","1,974,797","1,705,740",15.9,8.5,7.4,1.827
1983,"233,792,000","3,638,933","2,019,201","1,619,732",15.6,8.6,6.9,1.799
1984,"235,825,000","3,669,141","2,039,369","1,629,772",15.6,8.6,6.9,1.806
1985,"237,924,000","3,760,561","2,086,440","1,674,121",15.8,8.8,7,1.844
1986,"240,133,000","3,756,547","2,105,361","1,651,186",15.6,8.8,6.9,1.837
1987,"242,289,000","3,809,394","2,123,323","1,686,071",15.7,8.8,7,1.872
1988,"244,499,000","3,909,510","2,167,999","1,741,511",16,8.9,7.1,1.934
1989,"246,819,000","4,040,958","2,150,466","1,890,492",16.4,8.7,7.7,2.014
1990,"249,623,000","4,158,212","2,148,463","2,009,749",16.7,8.6,8.1,2.081
1991,"252,981,000","4,110,907","2,169,518","1,941,389",16.2,8.6,7.7,2.062
1992,"256,514,000","4,065,014","2,175,613","1,889,401",15.8,8.5,7.4,2.046
1993,"259,919,000","4,000,240","2,268,553","1,731,687",15.4,8.7,6.7,2.019
1994,"263,126,000","3,952,767","2,278,994","1,673,773",15,8.7,6.4,2.001
1995,"266,278,000","3,899,589","2,312,132","1,587,457",14.6,8.7,6,1.978
1996,"269,394,000","3,891,494","2,314,690","1,576,804",14.4,8.6,5.9,1.976
1997,"272,647,000","3,880,894","2,314,245","1,566,649",14.2,8.5,5.7,1.971
1998,"275,854,000","3,941,553","2,337,256","1,604,297",14.3,8.5,5.8,1.999
1999,"279,040,000","3,959,417","2,391,399","1,568,018",14.2,8.6,5.6,2.007
2000,"282,172,000","4,058,814","2,403,351","1,655,463",14.4,8.5,5.9,2.056
2001,"285,082,000","4,025,933","2,416,425","1,609,508",14.1,8.5,5.6,2.03
2002,"287,804,000","4,021,726","2,443,387","1,578,339",14,8.5,5.5,2.02
2003,"290,326,000","4,089,950","2,448,288","1,641,662",14.1,8.4,5.5,2.047
2004,"293,046,000","4,112,052","2,397,615","1,714,437",14,8.2,5.9,2.051
2005,"295,753,000","4,138,349","2,448,017","1,690,332",14,8.3,5.7,2.057
2006,"298,593,000","4,265,555","2,426,264","1,839,291",14.3,8.1,6.2,2.108
2007,"301,580,000","4,316,234","2,423,712","1,892,522",14.3,8,6.3,2.12
2008,"304,375,000","4,247,694","2,471,984","1,775,710",14,8.1,5.9,2.072
2009,"307,007,000","4,130,665","2,437,163","1,693,502",13.5,7.9,5.6,2.002
2010,"309,330,000","3,999,386","2,468,435","1,530,951",13,8,5,1.931
2011,"311,583,000","3,953,590","2,515,458","1,438,412",12.7,8.1,4.6,1.894
2012,"313,874,000","3,952,841","2,543,279","1,409,562",12.6,8.1,4.5,1.88
2013,"316,129,000","3,932,181","2,596,993","1,336,183",12.4,8.2,4.2,1.857
2014,"319,113,000","3,988,076","2,626,418","1,361,658",12.5,8.2,4.3,1.862
2015,"321,442,000","3,978,497","2,712,630","1,265,867",12.4,8.4,4,1.843
2016,"323,100,000","3,945,875","2,744,248","1,201,627",12.2,8.5,3.7,1.82
2017,"325,719,000","3,855,500","2,813,503","1,041,997",11.8,8.7,3.1,1.765
2018,"327,167,000","3,791,712","2,835,038","956,674",11.6,8.7,2.9,1.729
